"gameId","playId","pyoe_max","delta_max","second_delta_max","pyoe_min","delta_min","second_delta_min","pyoe_mean","delta_mean","second_delta_mean","pyoe","delta_first","second_delta_first","playDescription","quarter","down","yardsToGo","possessionTeam","specialTeamsPlayType","specialTeamsResult","kickerId","returnerId","kickBlockerId","yardlineSide","yardlineNumber","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","preSnapHomeScore","preSnapVisitorScore","passResult","kickLength","kickReturnYardage","playResult","absoluteYardlineNumber","displayName","pyoe_acum","n"
"2020091302","740",0.551251710653304,4.84665417671204,4.92679810523987,-8.97080722808838,-2.66450786590576,-4.14152550697327,-2.73976404735581,-0.0299664128910411,0.0106444807553833,-6.98771091461181,4.84665417671204,4.92679810523987,"(5:21) B.Mann punts 43 yards to BUF 32, Center-T.Hennessy. A.Roberts to BUF 34 for 2 yards (T.Basham). PENALTY on BUF-G.Davis, Face Mask (15 Yards), 14 yards, enforced at BUF 32.",1,4,10,"NYJ","Punt","Return",52599,35527,NA,"NYJ",25,19260,"FMM","BUF 13",14,7,0,NA,43,0,57,35,"Andre Roberts",19.5638344192505,5
"2020092000","2902",9.5811457824707,22.6276208162308,22.6067707538605,-2.30878498077392,-3.26277542114258,-23.1867085695267,2.76356700120149,-0.0113799097361388,-0.0028159154786004,4.93856582641601,22.6276208162308,22.6067707538605,"G.Gano kicks 71 yards from NYG 35 to CHI -6. C.Patterson to CHI 24 for 30 yards (N.Ebner).",4,0,0,"NYG","Kickoff","Return",35102,39975,NA,"NYG",35,51480,NA,NA,NA,17,10,NA,71,30,41,45,"Cordarrelle Patterson",43.0844110870361,5
"2020092000","42",0.277294998168944,20.2444896697998,17.4819145202637,-11.3864292144775,-3.12913703918457,-17.3575592041016,-4.31440223895587,0.0440871898944561,-0.0176602968802819,-4.20424934387207,20.2444896697998,17.4819145202637,"G.Gano kicks 70 yards from NYG 35 to CHI -5. C.Patterson pushed ob at CHI 18 for 23 yards (L.Ryan).",1,0,0,"NYG","Kickoff","Return",35102,39975,NA,"NYG",35,54000,NA,NA,NA,0,0,NA,70,23,47,75,"Cordarrelle Patterson",38.8801617431641,6
"2020092001","2653",5.83436058044433,22.7510812357068,22.7358622699976,-1.90427326202393,-4.04187774658203,-24.761043317616,2.63329220440653,0.0120270794464482,0.00568048945731587,3.39369979858398,22.7510812357068,22.7358622699976,"Y.Koo kicks 67 yards from ATL 35 to DAL -2. T.Pollard to DAL 26 for 28 yards (J.Tuioti-Mariner).",3,0,0,"ATL","Kickoff","Return",45576,47911,NA,"ATL",35,54000,NA,NA,NA,10,29,NA,67,28,39,75,"Tony Pollard",-8.71823501586914,5
"2020092001","3696",5.15878959655763,31.429034113884,31.4870326220989,-7.20061294555664,-7.36414909362793,-32.4732464551926,-0.441005918582278,0.0117417951424917,0.00314038048187892,-3.83906005859374,31.429034113884,31.4870326220989,"Y.Koo kicks 72 yards from ATL 35 to DAL -7. T.Pollard to DAL 24 for 31 yards (K.Neal).",4,0,0,"ATL","Kickoff","Return",45576,47911,NA,"ATL",35,51780,NA,NA,NA,24,36,NA,72,31,41,45,"Tony Pollard",-12.5572950744629,6
"2020092001","510",-1.62810929298402,21.3536702990532,21.5031976699829,-11.1329971313477,-3.02585792541504,-23.3492338061333,-7.77647044803786,0.0794166728206303,-0.00844474849493607,-8.60820831298828,21.3536702990532,21.5031976699829,"Y.Koo kicks 65 yards from ATL 35 to DAL 0. T.Pollard to DAL 13 for 13 yards (J.Tuioti-Mariner).",1,0,0,"ATL","Kickoff","Return",45576,47911,NA,"ATL",35,39480,NA,NA,NA,0,7,NA,65,13,52,45,"Tony Pollard",-21.1655033874512,7
"2020092003","41",0.464179687499993,28.1103499531746,28.1592777967453,-6.46181053161622,-4.69997215270996,-31.1169055104256,-2.50852465963832,0.00889701586143643,0.000959369481778612,-6.46181053161622,28.1103499531746,28.1592777967453,"R.Sanchez kicks 69 yards from IND 35 to MIN -4. K.Osborn to MIN 22 for 26 yards (J.Glasgow, A.Dulin).",1,0,0,"IND","Kickoff","Return",45153,52584,NA,"IND",35,54000,NA,NA,NA,0,0,NA,69,26,43,45,"K.J. Osborn",-10.317677230835,5
"2020092004","1033",2.60749328613281,4.76602172851562,2.82282590866089,-3.25799785614014,-3.13610982894897,-4.43586826324463,-0.0220275274301247,-0.0637395015129676,-0.0730754198172154,-3.25799785614014,4.76602172851562,0.66517698764801,"(14:49) M.Haack punts 50 yards to BUF 9, Center-B.Ferguson. A.Roberts to BUF 16 for 7 yards (K.Frazier).",2,4,6,"MIA","Punt","Return",45296,35527,NA,"MIA",41,53340,NA,NA,NA,7,7,NA,50,7,43,51,"Andre Roberts",16.3058365631104,6
"2020092004","1862",8.73294130325318,16.0191249847412,14.8967788219452,-6.18568687438965,-8.80306243896484,-16.8068962097168,1.39989833583435,-0.00770949820677439,-0.0121613144874573,-6.18568687438965,16.0191249847412,14.8967788219452,"(1:57) M.Haack punts 58 yards to BUF 18, Center-B.Ferguson. A.Roberts ran ob at BUF 29 for 11 yards (A.Van Ginkel). PENALTY on BUF-T.Jones, Illegal Block Above the Waist, 10 yards, enforced at BUF 29.",2,4,11,"MIA","Punt","Return",45296,35527,NA,"MIA",24,7020,"IBW","BUF 25",10,7,17,NA,58,11,57,34,"Andre Roberts",10.1201496887207,7
"2020092010","875",3.25211730957031,5.20355296134949,5.65818285942078,-6.53193000793457,-2.94886112213135,-4.57859683036804,0.0839748125043629,-0.0303823743780998,0.00622780682289437,2.83067527770996,5.20355296134949,5.65818285942078,"(3:00) A.Lee punts 57 yards to WAS 28, Center-A.Brewer. S.Sims to WAS 40 for 12 yards (D.Daniels). FUMBLES (D.Daniels), RECOVERED by ARI-A.Brewer at WAS 40. A.Brewer to WAS 40 for no gain (F.Moreau).",1,4,7,"ARI","Punt","Return",29141,48051,NA,"ARI",15,10800,NA,NA,NA,7,0,NA,57,12,45,95,"Steven Sims",-7.38566711425781,5
